                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.898,                 3.5669,                 4.1537,                0.00169,                0.02925,                0.00087,                0.00021,                   4.65,                 3.1393,                 3.7967,                 0.0838,                 0.0018,                 0.0018
                      1,                 4.1013,                 2.7446,                 3.7424,                0.00222,                0.03849,                0.00115,                0.00033,                 4.1648,                 3.0861,                 3.5749,               0.066663,              0.0036634,              0.0036634
                      2,                 3.2572,                 2.2312,                 3.1405,                 0.0061,                0.10566,                0.00337,                0.00104,                  4.063,                 3.2116,                 3.4982,               0.049489,              0.0054891,              0.0054891
                      3,                 2.7427,                 1.8908,                 2.5934,                0.01438,                0.24904,                0.01014,                 0.0026,                 4.0228,                 3.3526,                 3.4701,               0.032277,              0.0072772,              0.0072772
                      4,                 2.4579,                 1.5926,                 2.2568,                0.02613,                0.45266,                0.02837,                0.00634,                 3.6426,                 3.1873,                  3.322,               0.015028,              0.0090278,              0.0090278
                      5,                  2.167,                 1.4907,                 2.0484,                0.55657,                0.56255,                 0.5917,                0.21694,                 2.1114,                 1.6283,                 2.0858,               0.009505,               0.009505,               0.009505
                      6,                 1.9615,                 1.3433,                 1.8924,                0.77744,                0.70612,                0.82593,                0.49115,                 1.5039,                 1.2472,                 1.7133,               0.009505,               0.009505,               0.009505
                      7,                 1.7825,                 1.2185,                 1.7452,                0.68928,                0.66474,                0.74415,                0.37616,                 1.7117,                  1.312,                 1.7902,               0.009406,               0.009406,               0.009406
                      8,                 1.6149,                  1.081,                 1.6404,                0.74087,                0.71753,                0.79919,                0.40638,                 1.7711,                 1.3702,                 1.9336,               0.009307,               0.009307,               0.009307
                      9,                 1.5402,                 1.0389,                 1.5463,                0.84184,                0.82154,                0.89944,                0.57685,                 1.3175,                 1.2749,                 1.5244,               0.009208,               0.009208,               0.009208
                     10,                  1.466,                0.97737,                 1.5014,                0.87304,                0.76001,                0.85524,                0.45737,                 1.6109,                 1.1394,                 1.6745,               0.009109,               0.009109,               0.009109
