                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3915,                 3.8652,                 3.7469,                0.00012,                0.00693,                  6e-05,                  2e-05,                 3.4433,                 3.7682,                 3.2875,               0.070476,              0.0032804,              0.0032804
                      1,                 3.0705,                 2.8038,                 2.9006,                0.05247,                0.12625,                0.02854,                0.00874,                 2.9094,                 3.3064,                 2.8652,               0.039881,              0.0060185,              0.0060185
                      2,                  2.226,                 2.2024,                  2.093,                0.03679,                0.07794,                0.02186,                0.00984,                 2.2229,                 3.2096,                  2.518,              0.0086857,              0.0081566,              0.0081566
                      3,                 1.7482,                 1.8911,                 1.7098,                0.32639,                0.56082,                0.34459,                0.21907,                 1.3342,                 1.7557,                 1.5238,                 0.0073,                 0.0073,                 0.0073
                      4,                 1.4902,                 1.8225,                 1.5126,                0.35962,                0.47286,                0.33937,                0.20469,                 1.3802,                 2.1913,                 1.4708,                 0.0073,                 0.0073,                 0.0073
                      5,                   1.29,                 1.6003,                 1.3561,                0.48288,                0.65897,                  0.539,                0.38175,                  1.015,                  1.398,                 1.2792,                 0.0064,                 0.0064,                 0.0064
                      6,                  1.178,                  1.488,                 1.2752,                 0.5337,                0.61586,                0.57446,                0.42664,                0.97276,                 1.3904,                 1.2522,                 0.0055,                 0.0055,                 0.0055
                      7,                 1.0902,                 1.3868,                 1.2077,                0.60524,                0.64531,                 0.6478,                0.50481,                0.83097,                 1.3694,                 1.1729,                 0.0046,                 0.0046,                 0.0046
                      8,                 1.0029,                 1.3079,                 1.1762,                0.65012,                0.65339,                0.70034,                0.55439,                0.78367,                 1.1986,                 1.1155,                 0.0037,                 0.0037,                 0.0037
                      9,                0.97254,                 1.2764,                 1.1538,                0.65524,                0.75135,                0.73013,                0.57929,                0.76611,                 1.1451,                 1.0851,                 0.0028,                 0.0028,                 0.0028
                     10,                0.94409,                 1.1946,                 1.1451,                0.69309,                0.66089,                0.72213,                0.58447,                0.71932,                 1.1829,                  1.077,                 0.0019,                 0.0019,                 0.0019
